

# e13-b RE-AUDIT fix round — the witness matrix ([AGENT], 2026-09-05): every auditor probe (.tmp/audit/re/*, 91 programs) plus this round's 38 (.tmp/audit/re2/P*/Q*), each run through gc go1.26.5 and through the machine (coverage-observations, fn sub, --max-width 2) at the frontend of main b77f3298, the lane tip b2fd9f15, the fix-round tip d75049c0 and the RE-AUDIT tip (the Q* programs at the re-audit tip only). Machine cells: the enumerated observation set as status[output]message (the machine's re-panic observation carries only the first panic text, so recover shapes differ by output), or the refusal text. 'gc' is go run's output + panic line. Programs whose gc cell is absent from the tip's set are ROWED (BUG-101: g1/g2/g3/g4/h2/h5 — the value axis; BUG-104: P3/P23 — the compound target's hoisted temp) — none is silent; every other program either contains gc's realization in the tip's set or refuses by name.
program	sub() source	gc	machine@b77f3298 (main)	machine@b2fd9f15 (lane tip)	machine@d75049c0 (fix round)	machine@re-audit tip
a3_maptgt_len	func sub() { var iv interface{} = 3 m[iv.(string)] = len(b[j]) + wit(5) println(len(m)) }	panic: interface conversion: interface {} is int, not string	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]interface conversion: interface {} is int, not string ;; panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (type assertion at m	panic[]interface conversion: interface {} is int, not string ;; panic[]runtime error: index out of range [5] with length 1
a4_addrof_len	func sub() { var iv interface{} = "s" var p *int var n int p, n = &x[iv.(int)], len(b[j])+wit(5) println(*p, n) }	panic: interface conversion: interface {} is string, not int	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [5] with length 1
a5_recover_len	func sub() { defer func() { r = recover().(int) + len(b[j]) + wit(5) println("r", r) }() panic(1) }	panic: 1 [recovered]| panic: runtime error: index out of range [5] with length 1	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]1 [recovered]	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (type assertion at m	panic[]1 [recovered]
a6_bytesconv_len	func sub() { println(int([]byte(s)[7]) + len(b[j]) + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	coverage-observations:	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[]runtime error: index out of range [7] with length 2
a7_tgt_make	func sub() { var iv interface{} = "s" x[iv.(int)] = len(make([]int, t[k])) println(x[0]) }	panic: interface conversion: interface {} is string, not int	REFUSED: make of a potentially-panicking size/hint operand with a potentially-panicking operand to its left in the same	panic[]runtime error: index out of range [9] with length 2	REFUSED: make of a potentially-panicking size/hint operand hoisted past UNPROBED panicky material to its left (index ex	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
b1_tgt_assert_call	func sub() { var iv interface{} = "s" x[iv.(int)] = wit(5) + 1 println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
b2_maptgt_assert_call	func sub() { var iv interface{} = 3 m[iv.(string)] = wit(5) println(len(m)) }	panic: interface conversion: interface {} is int, not string	panic[wit 5|]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string	panic[wit 5|]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string ;; panic[wit 5|]interface conversion: interface {} is int, not string
b3_recover_call	func sub() { defer func() { r = recover().(int) + wit(5) println("r", r) }() panic("s") }	panic: s [recovered]| panic: interface conversion: interface {} is string, not int	panic[wit 5|]s [recovered]	panic[wit 5|]s [recovered]	panic[wit 5|]s [recovered]	panic[]s [recovered] ;; panic[wit 5|]s [recovered]
b4_bytes_call	func sub() { println(int([]byte(s)[7]) + wit(5)) }	wit 5|panic: runtime error: index out of range [7] with length 2	panic[wit 5|]runtime error: index out of range [7] with length 2	coverage-observations:	panic[wit 5|]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2
b5_addrof_call	func sub() { var iv interface{} = "s" var p *int var n int p, n = &x[iv.(int)], wit(5) println(*p, n) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
b6_tgt_assert_recv	func sub() { var iv interface{} = "s" ch := make(chan int, 1) ch <- 9 x[iv.(int)] = <-ch println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int
b7_tgt_assert_append	func sub() { var iv interface{} = "s" x[iv.(int)] = len(append(sl, wit(5))) println(x[0]) }	panic: interface conversion: interface {} is string, not int	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically	coverage-observations: site bound 31 exceeds the case's width 2 — the width assertion is REFUTED (mechanically
c1_recover_len_callroot	func sub() { defer func() { println(recover().(int) + len(b[j]) + wit(5)) }() panic("s") }	panic: s [recovered]| panic: interface conversion: interface {} is string, not int	panic[]s [recovered]	panic[]s [recovered]	panic[]s [recovered]	panic[]s [recovered]
c2_tgt_len_callroot	func sub() { var iv interface{} = "s" println(sink(len(b[j])+wit(5), func() int { x[iv.(int)] = 1; return 0 }())) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
c3_bytes_len_callroot	func sub() { println(int([]byte(s)[7]) + len(b[j]) + wit(5)) }	panic: runtime error: index out of range [1] with length 1	panic[]runtime error: index out of range [1] with length 1	coverage-observations:	panic[]runtime error: index out of range [1] with length 1	panic[]runtime error: index out of range [1] with length 1 ;; panic[]runtime error: index out of range [7] with length 2
d1_sliceconv_len_assignroot	func sub() { n = int([]byte(s)[1:7][0]) + len(b[j]) + wit(5) println(n) }	panic: runtime error: slice bounds out of range [:7] with capacity 2	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	coverage-observations:	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2
d2_sliceconv_len_printroot	func sub() { println(int([]byte(s)[1:7][0]) + len(b[j]) + wit(5)) }	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	coverage-observations:	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2
d3_sliceconv_len_callroot	func sub() { sink(int([]byte(s)[1:7][0]) + len(b[j]) + wit(5)) }	panic: runtime error: slice bounds out of range [:7] with capacity 2	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	coverage-observations:	panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2	panic[]runtime error: slice bounds out of range [:7] with capacity 2 ;; panic[wit 5|]runtime error: slice bounds out of range [:7] with capacity 2
d4_bytes_len_printroot_early	func sub() { println(int([]byte(s)[7]) + len(b[j]) + wit(5)) }	wit 5|panic: runtime error: index out of range [7] with length 2	panic[wit 5|]runtime error: index out of range [7] with length 2	coverage-observations:	panic[wit 5|]runtime error: index out of range [7] with length 2	panic[]runtime error: index out of range [7] with length 2 ;; panic[wit 5|]runtime error: index out of range [7] with length 2
e10_nested_lit	func sub() { println((&U{p: &T{x: s[i]}}).p.x + wit(5)) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo
e11_make_in_lit	func sub() { println([]int{len(make([]int, t[k]))}[0] + wit(5)) }	panic: runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2
e12_methodval_on_index	func sub() { f := arr[i].M; println(f() + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
e13_elided_ptr_lit	func sub() { a := []*T{{x: s[i]}}; println(a[0].x + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
e14_arraylit_payload_call	func sub() { a := [1]int{s[i]}; println(a[0] + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
e15_structlit_payload_call	func sub() { v := T{x: s[i]}; println(v.x + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
e1_ptrlit_payload_call	func sub() { println((&T{x: s[i]}).x + wit(5)) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo
e2_slicelit_payload_call	func sub() { println([]int{s[i]}[0] + wit(5)) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f
e3_event_inside_lit	func sub() { var iv interface{} = "q"; println([]int{iv.(int), wit(7)}[0]) }	panic: interface conversion: interface {} is string, not int	panic[wit 7|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 7|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 7|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 7|]interface conversion: interface {} is string, not int
e4_no_event_after	func sub() { println([]int{s[i]}[0] + 1) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
e5_variadic_pack	func sub() { println(vf(s[i], wit(7))) }	wit 7|panic: runtime error: index out of range [5] with length 1	panic[wit 7|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 7|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 7|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 7|]runtime error: index out of range [5] with length 1
e6_maplit_payload_call	func sub() { println(map[int]int{1: s[i]}[1] + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (map literal) with a potentially-panicking payload (a probed operand in the payload) fol	panic[]runtime error: index out of range [5] with length 1
e7_ifacemethodval	func sub() { var v I = &T{x: 1}; f := v.M; println(f() + wit(5)) }	M 1|wit 5|6	ok[M 1|wit 5|6|]	ok[M 1|wit 5|6|]	ok[M 1|wit 5|6|]	ok[M 1|wit 5|6|]
e8_new_expr_payload_call	func sub() { println(*new2(s[i]) + wit(5)) } func new2(v int) *int { p := new(v); return p }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
e9_new_inline	func sub() { println(*new(s[i]) + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
f1_structlit_inline	func sub() { println(T{x: s[i]}.x + wit(5)) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1
f2_arraylit_inline	func sub() { println([1]int{s[i]}[0] + wit(5)) }	wit 5|panic: runtime error: index out of range [5] with length 1	panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1 ;; panic[wit 5|]runtime error: index out of range [5] with length 1
f3_variadic_then_event	func sub() { println(vf(s[i]) + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1
f4_ptrlit_in_arg_then_event	func sub() { println(useT(&T{x: s[i]}) + wit(5)) } func useT(t *T) int { println("useT"); return t.x }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (&composite literal) with a potentially-panicking payload (a probed operand in the paylo	panic[]runtime error: index out of range [5] with length 1
f5_slicelit_then_recv	func sub() { ch := make(chan int, 1); ch <- 3; println([]int{s[i]}[0] + <-ch) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f
f6_lit_then_len_hoist	func sub() { println([]int{s[i]}[0] + len(t[k:]) + wit(5)) }	panic: runtime error: slice bounds out of range [9:2]	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f	REFUSED: structural allocation (slice literal) with a potentially-panicking payload (a probed operand in the payload) f
g1_e12_nolen	func sub() { println(iv.(int) + mut()) }	mut|4	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int
g2_bug101	func sub() { println(iv.(int) + len(b[0:]) + mut()) }	mut|6	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int
g3_bug101_assignroot	func sub() { n = iv.(int) + len(b[j:]) + mut() println(n) }	mut|6	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int
g4_e12_assignroot	func sub() { n = iv.(int) + mut() println(n) }	mut|4	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int
h1_index_value	func sub() { n = a[i] + len(b[j:]) + mut(); println(n) }	mut|22	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	ok[mut|22|]	ok[mut|22|]	ok[mut|22|]
h2_slice_value	func sub() { n = a[i:][0] + len(b[j:]) + mut(); println(n) }	mut|12	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	ok[mut|22|]	ok[mut|22|]	ok[mut|22|]
h3_ifacecmp_value	func sub() { n = b2i(iv == jv) + len(b[j:]) + mut(); println(n) }	mut|102	ok[mut|102|]	ok[mut|102|]	ok[mut|102|]	ok[mut|102|]
h4_ifacecmp_multiassign	func sub() { ok, n = iv == jv, len(b[j:])+mut(); println(ok, n) }	mut|false 2	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	ok[mut|false 2|]	ok[mut|false 2|]	ok[mut|false 2|]
h5_slice_value_nolen	func sub() { n = a[i:][0] + mut(); println(n) }	mut|10	ok[mut|20|]	ok[mut|20|]	ok[mut|20|]	ok[mut|20|]
k1_tgt_min	func sub() { x := []int{1, 2, 3} t := []int{1, 2} k := 9 q := 3 var iv interface{} = "s" x[iv.(int)] = min(q, t[k]) + wit(5) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2
k2_defer_args	func sub() { b := []int{1, 2} j := 5 var iv interface{} = "s" defer g(iv.(int) + len(b[j:]) + wit(5)) println("body") }	panic: interface conversion: interface {} is string, not int	panic[]runtime error: slice bounds out of range [5:2]	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]
k3_switch_tag	func sub() { x := []int{1, 2, 3} b := []int{1, 2} j := 5 var iv interface{} = "s" switch x[iv.(int)] = len(b[j:]) + wit(5); x[0] { case 1: println("on	panic: interface conversion: interface {} is string, not int	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	panic[]runtime error: slice bounds out of range [5:2]	REFUSED: len of a potentially-panicking operand hoisted past UNPROBED panicky material to its left (index expression at	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]
k4_maplit_key	func sub() { s := []int{1} i := 5 println(map[int]int{s[i]: 1}[0] + wit(5)) }	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	REFUSED: structural allocation (map literal) with a potentially-panicking payload (a probed operand in the payload) fol	panic[]runtime error: index out of range [5] with length 1
k5_hoisted_temp_index	func sub() { b := []int{1, 2} j := 5 i := 7 println(mk()[i] + len(b[j:]) + wit(5)) }	mk|panic: runtime error: slice bounds out of range [5:2]	panic[mk|]runtime error: slice bounds out of range [5:2]	panic[mk|]runtime error: index out of range [7] with length 1 ;; panic[mk|]runtime error: slice bounds out of range [5:2]	panic[mk|]runtime error: index out of range [7] with length 1 ;; panic[mk|]runtime error: slice bounds out of range [5:2]	panic[mk|]runtime error: index out of range [7] with length 1 ;; panic[mk|]runtime error: slice bounds out of range [5:2]
k6_tgt_copy	func sub() { x := []int{1, 2, 3} d := []int{0} s := []int{1} var iv interface{} = "s" x[iv.(int)] = copy(d, s) + wit(5) println(x[0]) }	panic: interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int
l1_select_tgt	func sub() { x := []int{1, 2, 3} var iv interface{} = "s" c := make(chan int, 1) c <- 7 select { case x[iv.(int)] = <-c: println("got", x[0]) } }	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int
l2_range_tgt	func sub() { x := []int{1, 2, 3} b := []int{4, 5} var iv interface{} = "s" for x[iv.(int)] = range b { println("iter", x[0]) } }	panic: interface conversion: interface {} is string, not int	REFUSED: range assignment to non-identifier target (operands evaluate per iteration)	REFUSED: range assignment to non-identifier target (operands evaluate per iteration)	REFUSED: range assignment to non-identifier target (operands evaluate per iteration)	REFUSED: range assignment to non-identifier target (operands evaluate per iteration)
l3_incdec_map	func sub() { m := map[string]int{} var iv interface{} = 3 m[iv.(string)]++ println(len(m), wit(1)) }	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string
m1_deref_value	func sub() { v1, v2 := 10, 20 b := []int{1, 2} j := 0 p := &v1 n := *p + len(b[j:]) + func() int { p = &v2; println("mut"); return 0 }() println(n) }	mut|22	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	ok[mut|22|]	ok[mut|22|]	ok[mut|22|]
m2_div_value	func sub() { d := 2 b := []int{1, 2} j := 0 n := (100 / d) + len(b[j:]) + func() int { d = 5; println("mut"); return 0 }() println(n) }	mut|22	REFUSED: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered	ok[mut|22|]	ok[mut|22|]	ok[mut|22|]
