# e13-b round-17 rebase — the witness matrix re-run against the REBASED binaries ([AGENT] reconciler, 2026-09-05): every program of reaudit-witnesses.tsv (129; .tmp/audit/re/*, .tmp/audit/re2/*) re-emitted with the rebased frontend (tools/nativefrontend at the tip) and enumerated with the rebased golean (coverage-observations --function sub --max-width 2); the cell is the observation SET (status[output]message, sorted, ' ;; '-joined) or the refusal text (a per-declaration quarantine's text read from the wire's `unsupported` field, as the lane's matrix did). Compared with the recorded re-audit-tip column as SETS (the recorded column was not sorted) and, for refusals, on the recorded cell's truncated prefix. gc column copied from the recorded matrix.
program	gc	recorded@re-audit-tip	machine@round17-rebased-tip	verdict
g2_bug101	mut|6	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	same
g3_bug101_assignroot	mut|6	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	same
g4_e12_assignroot	mut|4	panic[mut|]interface conversion: interface {} is string, not int	panic[mut|]interface conversion: interface {} is string, not int	same
h1_index_value	mut|22	ok[mut|22|]	ok[mut|22|]	same
h2_slice_value	mut|12	ok[mut|22|]	ok[mut|22|]	same
h3_ifacecmp_value	mut|102	ok[mut|102|]	ok[mut|102|]	same
h4_ifacecmp_multiassign	mut|false 2	ok[mut|false 2|]	ok[mut|false 2|]	same
h5_slice_value_nolen	mut|10	ok[mut|20|]	ok[mut|20|]	same
k1_tgt_min	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: index out of range [9] with length 2	same
k2_defer_args	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]	same
k3_switch_tag	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]	panic[]interface conversion: interface {} is string, not int ;; panic[]runtime error: slice bounds out of range [5:2]	same
k4_maplit_key	panic: runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	panic[]runtime error: index out of range [5] with length 1	same
k5_hoisted_temp_index	mk|panic: runtime error: slice bounds out of range [5:2]	panic[mk|]runtime error: index out of range [7] with length 1 ;; panic[mk|]runtime error: slice bounds out of range [5:2]	panic[mk|]runtime error: index out of range [7] with length 1 ;; panic[mk|]runtime error: slice bounds out of range [5:2]	same
k6_tgt_copy	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int ;; panic[wit 5|]interface conversion: interface {} is string, not int	same
l1_select_tgt	panic: interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	panic[]interface conversion: interface {} is string, not int	same
l2_range_tgt	panic: interface conversion: interface {} is string, not int	REFUSED: range assignment to non-identifier target (operands evaluate per iteration)	REFUSED: range assignment to non-identifier target (operands evaluate per iteration)	same
l3_incdec_map	panic: interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	panic[]interface conversion: interface {} is int, not string	same
m1_deref_value	mut|22	ok[mut|22|]	ok[mut|22|]	same
m2_div_value	mut|22	ok[mut|22|]	ok[mut|22|]	same
